"code_state","abbrev_state","n_setores","env_area_km2","setores_area_km2","coverage_pct","gap_pct"
33,"RJ",19699,43696.06,43550.18,99.666,0.334
21,"MA",5784,331974.48,331257.09,99.784,0.216
52,"GO",5137,340083.67,339753.02,99.903,0.097
23,"CE",7443,148825.33,148765.43,99.96,0.04
15,"PA",5669,1247682.2,1247456.71,99.982,0.018
29,"BA",13474,564688.62,564712.4,100.004,-0.004
35,"SP",45961,248207.81,248229.36,100.009,-0.009
28,"SE",1876,21910.15,21912.93,100.013,-0.013
41,"PR",11486,199314.06,199347.49,100.017,-0.017
53,"DF",2656,5801.87,5803.11,100.022,-0.022
26,"PE",7568,98310.3,98346.68,100.037,-0.037
22,"PI",3244,251526.94,251624.63,100.039,-0.039
43,"RS",15060,268724.61,268850.87,100.047,-0.047
11,"RO",1820,237575.4,237699.24,100.052,-0.052
31,"MG",19297,586524.64,586839.89,100.054,-0.054
25,"PB",3537,56440.27,56474.07,100.06,-0.06
17,"TO",1085,277620.67,277844.53,100.081,-0.081
13,"AM",3089,1570730.67,1572224.13,100.095,-0.095
27,"AL",2257,27768.04,27795.79,100.1,-0.1
50,"MS",2206,357121.73,357551.73,100.12,-0.12
16,"AP",420,142813.98,142997.79,100.129,-0.129
51,"MT",2808,903358.43,904713.07,100.15,-0.15
12,"AC",493,152581.08,152845.19,100.173,-0.173
32,"ES",2946,46078.94,46198.76,100.26,-0.26
24,"RN",2193,52797.21,53018.06,100.418,-0.418
42,"SC",5746,95347.28,95751.8,100.424,-0.424
14,"RR",470,224297.43,225819.26,100.678,-0.678
