"code_tract","code_state","code_muni","cause"
"120001305000002",12,1200013,"absorbed_by_range"
"120001305000003",12,1200013,"absorbed_by_range"
"120005405000002",12,1200054,"absorbed_by_range"
"120010405000002",12,1200104,"absorbed_by_range"
"120010405000003",12,1200104,"absorbed_by_range"
"120010405000004",12,1200104,"absorbed_by_range"
"120010405000005",12,1200104,"absorbed_by_range"
"120010405000006",12,1200104,"absorbed_by_range"
"120010405000007",12,1200104,"absorbed_by_range"
"120025205000002",12,1200252,"absorbed_by_range"
"120025205000003",12,1200252,"absorbed_by_range"
"120025205000004",12,1200252,"absorbed_by_range"
"120025205000005",12,1200252,"absorbed_by_range"
"120025205000006",12,1200252,"absorbed_by_range"
"120030205000002",12,1200302,"absorbed_by_range"
"120030205000003",12,1200302,"absorbed_by_range"
"120030205000004",12,1200302,"absorbed_by_range"
"120030205000005",12,1200302,"absorbed_by_range"
"120030205000006",12,1200302,"absorbed_by_range"
"120030205000007",12,1200302,"absorbed_by_range"
"120030205000008",12,1200302,"absorbed_by_range"
"120030205000009",12,1200302,"absorbed_by_range"
"120030205000010",12,1200302,"absorbed_by_range"
"120033605000002",12,1200336,"absorbed_by_range"
"120033605000003",12,1200336,"absorbed_by_range"
"120034405000002",12,1200344,"absorbed_by_range"
"120038505000002",12,1200385,"absorbed_by_range"
"120038505000003",12,1200385,"absorbed_by_range"
"120038505000004",12,1200385,"absorbed_by_range"
"120038505000005",12,1200385,"absorbed_by_range"
"120038505000006",12,1200385,"absorbed_by_range"
"120038505000011",12,1200385,"absorbed_by_range"
"120038505000012",12,1200385,"absorbed_by_range"
"120042705000002",12,1200427,"absorbed_by_range"
"120045005000002",12,1200450,"absorbed_by_range"
"120045005000003",12,1200450,"absorbed_by_range"
"120045005000004",12,1200450,"absorbed_by_range"
"120045005000005",12,1200450,"absorbed_by_range"
"120045005000006",12,1200450,"absorbed_by_range"
"120045005000007",12,1200450,"absorbed_by_range"
"120050005000002",12,1200500,"absorbed_by_range"
"120050005000003",12,1200500,"absorbed_by_range"
"120050005000004",12,1200500,"absorbed_by_range"
"120050005000005",12,1200500,"absorbed_by_range"
"120050005000006",12,1200500,"absorbed_by_range"
"120050005000007",12,1200500,"absorbed_by_range"
"120050005000008",12,1200500,"absorbed_by_range"
"120050005000009",12,1200500,"absorbed_by_range"
"120050005000010",12,1200500,"absorbed_by_range"
"120050005000011",12,1200500,"absorbed_by_range"
