"uf_code_num","n_ranges","n_intermediaries_absorbed","K_max","K_median"
"11",94,1083,96,2
"12",39,305,217,1
"13",190,2145,348,1
"14",37,291,255,1
"15",701,3419,349,1
"16",69,310,213,1
"17",266,711,114,1
"21",1456,3375,747,1
"22",483,1535,140,1
"23",1113,4445,318,1
"24",485,1620,170,1
"25",432,3151,595,1
"26",855,5675,298,1
"27",450,1483,118,1
"28",284,1294,502,1
"29",2153,8074,450,1
"31",2243,15103,563,1
"32",367,4180,192,1
"33",566,24970,633,3
"35",2202,47478,1180,1
"41",999,8235,402,1
"42",601,4313,355,1
"43",1374,10749,2155,1
"50",152,1711,148,2
"51",397,1815,151,1
"52",525,3919,262,2
"53",59,2535,491,2
