"code_state","abbrev_state","n_large_gaps","total_large_gap_area_km2","n_recoverable_2010_setores"
29,"BA",85,809.95,1614
35,"SP",118,1001.51,1526
33,"RJ",93,831.62,1426
31,"MG",98,923.07,1309
42,"SC",67,511,1045
52,"GO",69,899.27,840
21,"MA",97,996.73,832
23,"CE",61,375.85,724
26,"PE",55,427.99,711
43,"RS",41,13072.14,593
15,"PA",79,1146.57,536
41,"PR",55,351.71,348
13,"AM",47,840.66,330
22,"PI",34,99.75,227
27,"AL",15,71.6,218
25,"PB",21,60.41,202
51,"MT",29,372.1,197
28,"SE",13,99.69,190
14,"RR",18,115.7,170
24,"RN",15,37.07,154
11,"RO",30,94.86,153
32,"ES",13,57.92,146
17,"TO",29,213.58,137
53,"DF",7,19.72,113
12,"AC",2,57.04,82
50,"MS",20,53.09,59
16,"AP",9,32.9,16
