"gap_id","area_km2","category","centroid_lon","centroid_lat"
1,83.057575620053,"large",-46.6863493882442,-23.9352964390942
2,2.46964359125392,"large",-46.6312960261576,-23.7731004113824
3,1.157355427056,"large",-46.7236089053813,-23.4003522301346
4,0.988996577331359,"medium",-46.5619464454723,-23.4876970526971
5,0.787048643579897,"medium",-46.413563317857,-23.4756045912535
6,0.685153443107852,"medium",-46.4581803959158,-23.4809024328998
7,0.615341212964414,"medium",-46.3736278669175,-23.4898283175545
8,0.599066383223699,"medium",-46.6157859184748,-23.8849710665293
9,0.507828187270764,"medium",-46.6276447499908,-23.8505719684868
10,0.419933728039788,"medium",-46.5819385789615,-23.6223868894902
