"code_tract_char","code_tract_original","is_range_notation","code_state","code_muni","name_muni","dist_code","subdist_code","setor_num","situacao","tipo","shapefile","zone","abbrev_state","name_state","name_region"
"110020545090001","110020545090001-0001",TRUE,11,1100205,"Porto Velho",45,9,1,"5","0","11SE500G.shp","Rural","RO","Rondônia","Norte"
"150430715000009","150430715000009-0010",TRUE,15,1504307,"Maracana",15,0,9,"5","0","15SE500G.shp","Rural","PA","Pará","Norte"
"150430715000011","150430715000011-0011",TRUE,15,1504307,"Maracana",15,0,11,"5","0","15SE500G.shp","Rural","PA","Pará","Norte"
"260800820000004","260800820000004",FALSE,26,2608008,"Jataúba",20,0,4,"8","0","26SE500G.shp","Rural","PE","Pernambuco","Nordeste"
"260800820000005","260800820000005",FALSE,26,2608008,"Jataúba",20,0,5,"8","0","26SE500G.shp","Rural","PE","Pernambuco","Nordeste"
"260800820000006","260800820000006",FALSE,26,2608008,"Jataúba",20,0,6,"8","0","26SE500G.shp","Rural","PE","Pernambuco","Nordeste"
"260800820000007","260800820000007",FALSE,26,2608008,"Jataúba",20,0,7,"8","0","26SE500G.shp","Rural","PE","Pernambuco","Nordeste"
"260800820000008","260800820000008",FALSE,26,2608008,"Jataúba",20,0,8,"8","0","26SE500G.shp","Rural","PE","Pernambuco","Nordeste"
"261110130090001","261110130090001-0002",TRUE,26,2611101,"Petrolina",30,9,1,"5","0","26SE500G.shp","Rural","PE","Pernambuco","Nordeste"
"261110130090006","261110130090006-0006",TRUE,26,2611101,"Petrolina",30,9,6,"5","0","26SE500G.shp","Rural","PE","Pernambuco","Nordeste"
"291080040110001","291080040110001-0001",TRUE,29,2910800,"Feira de Santana",40,11,1,"5","0","29SE500G.shp","Rural","BA","Bahia","Nordeste"
"291080040110008","291080040110008-0008",TRUE,29,2910800,"Feira de Santana",40,11,8,"5","0","29SE500G.shp","Rural","BA","Bahia","Nordeste"
"292740805000001","292740805000001-0001",TRUE,29,2927408,"Salvador",5,0,1,"5","0","29SE500G.shp","Rural","BA","Bahia","Nordeste"
"313670280240001","313670280240001-0001",TRUE,31,3136702,"Juiz de Fora",80,24,1,"5","0","31SE500G.shp","Rural","MG","Minas Gerais","Sudeste"
"313670280240002","313670280240002-0002",TRUE,31,3136702,"Juiz de Fora",80,24,2,"5","0","31SE500G.shp","Rural","MG","Minas Gerais","Sudeste"
"313670280240003","313670280240003-0003",TRUE,31,3136702,"Juiz de Fora",80,24,3,"5","0","31SE500G.shp","Rural","MG","Minas Gerais","Sudeste"
"315210505000025","315210505000025",FALSE,31,3152105,"Ponte Nova",5,0,25,"8","0","31SE500G.shp","Rural","MG","Minas Gerais","Sudeste"
"316720210170001","316720210170001-0001",TRUE,31,3167202,"Sete Lagoas",10,17,1,"5","0","31SE500G.shp","Rural","MG","Minas Gerais","Sudeste"
"316720210170003","316720210170003-0003",TRUE,31,3167202,"Sete Lagoas",10,17,3,"5","0","31SE500G.shp","Rural","MG","Minas Gerais","Sudeste"
"320040905008003","320040905008003-8003",TRUE,32,3200409,"Anchieta",5,0,8003,"5","0","32SE500G.shp","Rural","ES","Espírito Santo","Sudeste"
"330040730140001","330040730140001-0001",TRUE,33,3300407,"Barra Mansa",30,14,1,"5","0","33SE500G.shp","Rural","RJ","Rio de Janeiro","Sudeste"
"330240325000005","330240325000005",FALSE,33,3302403,"Macaé",25,0,5,"8","0","33SE500G.shp","Rural","RJ","Rio de Janeiro","Sudeste"
"330240340050001","330240340050001-0001",TRUE,33,3302403,"Macaé",40,5,1,"5","0","33SE500G.shp","Rural","RJ","Rio de Janeiro","Sudeste"
"330380715000035","330380715000035",FALSE,33,3303807,"Parati",15,0,35,"8","0","33SE500G.shp","Rural","RJ","Rio de Janeiro","Sudeste"
"350180605000010","350180605000010",FALSE,35,3501806,"Américo de Campos",5,0,10,"8","0","35SE500G.shp","Rural","SP","São Paulo","Sudeste"
"352140805000018","352140805000018",FALSE,35,3521408,"Iracemápolis",5,0,18,"8","0","35SE500G.shp","Rural","SP","São Paulo","Sudeste"
"410430320050001","410430320050001-0001",TRUE,41,4104303,"Campo Mour╞O",20,5,1,"5","0","41SE500G.shp","Rural","PR","Paraná","Sul"
