"col","type_2000","type_2010","type_2022"
"code_tract","numeric","numeric","numeric"
"code_muni","numeric","numeric","numeric"
"name_muni","character","character","character"
"code_neighborhood","numeric","numeric","numeric"
"name_neighborhood","character","character","character"
"code_district","numeric","numeric","numeric"
"name_district","character","character","character"
"code_subdistrict","numeric","numeric","numeric"
"name_subdistrict","character","character","character"
"zone","character","character","character"
"code_state","numeric","numeric","numeric"
"abbrev_state","character","character","character"
"name_state","character","character","character"
"code_region","numeric","numeric","numeric"
"name_region","character","character","character"
"year","numeric","numeric","numeric"
"geometry","NULL","NULL","NULL"
